Time (s),Temp 1 (F),Temp 2 (F),Humidity 1 (%),Humidity 2 (%),Time (s),Control Force
0.0,94.46,93.56,32.0,34.0,,0
1.3,94.46,90.14,32.0,35.0,,0
2.5,94.46,90.14,32.0,35.0,,0
3.7,94.46,90.14,32.0,35.0,,0
4.9,94.46,90.14,32.0,35.0,,0
6.1,94.46,90.14,32.0,35.0,,0
7.3,94.46,90.14,32.0,35.0,,0
8.5,94.46,90.14,32.0,35.0,,0
9.7,94.46,90.14,32.0,35.0,,0
10.9,94.46,90.14,32.0,35.0,,0
12.1,94.46,90.14,32.0,35.0,,0
13.3,94.46,90.14,32.0,35.0,,0
14.5,94.46,90.14,32.0,35.0,,0
15.7,94.46,90.14,32.0,35.0,,0
16.9,94.46,90.14,32.0,35.0,,0
18.1,94.46,90.14,32.0,35.0,,0
19.3,94.46,90.32,32.0,35.0,,0
20.5,94.46,91.04,32.0,35.0,,0
21.7,94.46,91.04,32.0,35.0,,0
22.9,94.46,91.04,32.0,35.0,,0
24.1,94.46,91.04,32.0,35.0,,0
25.3,94.46,91.04,32.0,35.0,,0
26.5,94.46,91.04,32.0,35.0,,0
27.7,94.46,91.04,32.0,35.0,,0
28.9,94.46,91.04,32.0,35.0,,0
30.1,94.46,91.04,32.0,35.0,,0
31.3,94.46,91.04,32.0,35.0,,0
32.5,94.46,91.04,32.0,35.0,,0
33.7,94.46,91.04,32.0,35.0,,0
34.9,94.46,91.04,32.0,35.0,,0
36.1,94.46,91.04,32.0,35.0,,0
37.3,94.46,91.04,32.0,35.0,,0
38.5,94.46,91.04,32.0,35.0,,0
39.7,94.46,91.04,32.0,35.0,,0
40.9,94.46,91.04,32.0,35.0,,0
42.1,94.46,91.04,32.0,35.0,,0
43.3,94.46,91.04,32.0,35.0,,0
44.5,94.46,91.04,32.0,35.0,,0
45.7,94.46,91.04,32.0,35.0,,0
46.9,94.46,91.04,32.0,35.0,,0
48.1,94.46,91.04,32.0,35.0,,0
49.3,94.46,91.04,32.0,35.0,,0
50.5,94.46,91.04,32.0,35.0,,0
51.7,94.46,91.04,32.0,35.0,,0
52.9,94.46,91.04,32.0,35.0,,0
54.1,94.46,91.04,32.0,35.0,,0
55.3,94.46,91.04,32.0,35.0,,0
56.5,94.46,91.04,32.0,35.0,,0
57.7,94.46,91.04,32.0,35.0,,0
58.9,94.46,91.04,32.0,35.0,,0
60.1,94.46,91.04,32.0,35.0,,0
61.3,94.46,91.04,32.0,35.0,,0
62.5,94.46,91.04,32.0,35.0,,0
63.7,94.46,91.04,32.0,35.0,,0
64.9,94.46,91.04,32.0,35.0,,0
66.1,94.46,91.04,32.0,35.0,,0
67.3,94.46,91.04,32.0,35.0,,0
68.5,94.46,91.04,32.0,35.0,,0
69.7,94.46,91.04,32.0,35.0,,0
70.9,94.46,91.04,32.0,35.0,,0
72.1,94.46,91.04,32.0,35.0,,0
73.3,94.46,91.04,32.0,35.0,,0
74.5,94.46,91.22,32.0,35.0,,0
75.7,94.46,91.58,32.0,34.0,,0
76.9,94.46,91.76,32.0,34.0,,0
78.1,94.46,91.94,32.0,34.0,,0
79.3,94.46,91.94,32.0,34.0,,0
80.5,94.46,91.94,32.0,34.0,,0
81.7,94.46,91.94,32.0,34.0,,0
82.9,94.46,91.94,32.0,34.0,,0
84.1,94.46,91.94,32.0,34.0,,0
85.3,94.46,91.94,32.0,34.0,,0
86.5,94.46,91.94,32.0,34.0,,0
87.7,94.46,91.94,32.0,34.0,,0
88.9,94.46,91.94,32.0,34.0,,0
90.1,94.46,91.94,32.0,34.0,,0
91.3,94.46,91.94,32.0,34.0,,0
92.5,94.46,91.94,32.0,34.0,,0
93.7,94.46,91.94,32.0,34.0,,0
94.9,94.46,91.94,32.0,34.0,,0
96.1,94.46,91.94,32.0,34.0,,0
97.3,94.46,91.94,32.0,34.0,,0
98.5,94.46,91.94,32.0,34.0,,0
99.7,94.46,91.94,32.0,34.0,,0
100.9,94.46,91.94,32.0,34.0,,0
102.1,94.46,91.94,32.0,34.0,,0
103.3,94.46,91.94,32.0,34.0,,0
104.5,94.46,91.94,32.0,34.0,,0
105.7,94.46,91.94,32.0,34.0,,0
106.9,94.46,91.94,32.0,34.0,,0
108.1,94.46,91.94,31.0,34.0,,0
109.3,94.46,91.94,31.0,34.0,,0
110.5,94.46,91.94,31.0,34.0,,0
111.7,94.46,91.94,31.0,34.0,,0
112.9,94.46,91.94,31.0,34.0,,0
114.1,94.46,91.94,31.0,33.0,,0
115.3,94.46,91.94,31.0,33.0,,0
116.5,94.46,91.94,31.0,33.0,,0
117.7,94.46,91.94,31.0,33.0,,0
118.9,94.46,91.94,31.0,33.0,,0
120.1,94.46,91.94,31.0,33.0,,0
121.3,94.46,91.94,31.0,33.0,,0
122.5,94.46,91.94,31.0,33.0,,0
123.7,94.46,91.94,31.0,33.0,,0
124.9,94.46,91.94,31.0,33.0,,0
126.1,94.46,91.94,31.0,33.0,,0
127.3,94.46,91.94,31.0,33.0,,0
128.5,94.46,91.94,31.0,33.0,,0
129.7,94.46,91.94,31.0,33.0,,0
130.9,94.46,91.76,31.0,33.0,,0
132.1,94.46,91.22,31.0,34.0,,0
133.3,94.46,91.04,31.0,34.0,,0
134.5,94.46,91.04,31.0,34.0,,0
135.7,94.46,91.04,32.0,34.0,,0
136.9,94.46,91.04,32.0,34.0,,0
138.1,94.46,91.04,32.0,34.0,,0
139.3,94.46,91.04,32.0,34.0,,0
140.5,94.46,91.04,32.0,34.0,,0
141.7,94.46,91.04,32.0,34.0,,0
142.9,94.46,91.04,32.0,34.0,,0
144.1,94.46,91.04,32.0,34.0,,0
145.3,94.46,91.04,32.0,34.0,,0
146.5,94.28,91.04,32.0,34.0,,0
147.7,94.1,91.04,32.0,34.0,,0
148.9,93.92,91.04,32.0,34.0,,0
150.1,93.74,91.04,32.0,34.0,,0
151.3,93.56,91.04,32.0,34.0,,0
152.5,93.56,91.04,32.0,34.0,,0
153.7,93.56,91.04,32.0,34.0,,0
154.9,93.56,91.04,32.0,34.0,,0
156.1,93.56,91.04,32.0,34.0,,0
157.3,93.56,91.04,32.0,34.0,,0
158.5,93.56,91.04,32.0,34.0,,0
159.7,93.56,91.04,32.0,34.0,,0
160.9,93.56,91.04,32.0,34.0,,0
162.1,93.56,91.04,32.0,34.0,,0
163.3,93.56,91.04,32.0,34.0,,0
164.5,93.56,91.04,32.0,34.0,,0
165.7,93.56,91.04,32.0,34.0,,0
166.9,93.56,91.04,32.0,34.0,,0
168.1,93.56,91.04,32.0,34.0,,0
169.3,93.56,90.86,32.0,34.0,,0
170.5,93.56,90.14,32.0,34.0,,0
171.7,93.56,90.14,32.0,34.0,,0
172.9,93.56,90.14,32.0,34.0,,0
174.1,93.56,90.14,32.0,34.0,,0
175.3,93.56,90.14,32.0,34.0,,0
176.5,93.56,90.14,32.0,34.0,,0
177.7,93.56,90.14,32.0,34.0,,0
178.9,93.56,90.14,32.0,34.0,,0
180.1,93.56,90.14,32.0,34.0,,0
181.3,93.56,90.14,32.0,34.0,,0
182.5,93.56,90.14,32.0,34.0,,0
183.7,93.56,90.14,32.0,34.0,,0
184.9,93.56,90.14,32.0,34.0,,0
186.1,93.56,90.14,32.0,34.0,,0
187.3,93.56,90.14,32.0,34.0,,0
188.5,93.56,90.14,32.0,34.0,,0
189.7,93.56,90.14,32.0,35.0,,0
190.9,93.56,90.14,32.0,35.0,,0
192.1,93.56,90.14,32.0,35.0,,0
193.3,93.56,90.14,32.0,35.0,,0
194.5,93.56,90.14,32.0,35.0,,0
195.7,93.56,90.14,32.0,35.0,,0
196.9,93.56,90.14,32.0,35.0,,0
198.1,93.56,90.14,32.0,35.0,,0
199.3,93.56,90.14,32.0,35.0,,0
200.5,93.56,89.24,32.0,35.0,,0
201.7,93.56,89.24,32.0,35.0,,0
202.9,93.56,89.24,32.0,35.0,,0
204.1,93.56,89.24,32.0,35.0,,0
205.3,93.56,89.24,32.0,35.0,,0
